X11,X12,X13,X21,X22,X23,X31,X32,X33,X41,X42,X43
12,11,10,8,8,13,12,16,6,15,11,15
9,12,8,11,11,12,15,16,11,14,14,19
5,7,13,13,12,9,11,10,8,11,10,9
10,6,5,8,11,10,14,10,15,16,15,8
10,9,6,10,15,12,18,11,10,18,20,13
15,10,10,12,6,13,12,6,13,18,15,10
13,10,8,10,10,9,15,6,15,14,12,8
11,10,,13,10,8,10,12,11,7,14,11
10,8,,8,11,9,13,9,16,13,18,11
16,10,,15,13,9,11,6,5,16,14,10
11,10,,11,13,8,,9,11,9,16,11
8,9,,6,8,6,,11,13,15,9,13
11,11,,17,14,12,,10,8,15,11,5
14,10,,12,11,13,,9,17,16,16,14
11,10,,11,11,11,,7,12,14,14,9
12,12,,10,10,11,,13,9,11,11,12
10,8,,8,19,,,13,5,16,13,11
,13,,10,7,,,7,11,13,15,5
,8,,10,14,,,9,12,12,10,8
,,,,13,,,10,7,8,14,11
,,,,15,,,18,8,11,16,7
,,,,14,,,17,15,,6,13
,,,,10,,,14,10,,6,18
,,,,11,,,10,10,,14,4
,,,,18,,,10,13,,10,9
,,,,12,,,10,11,,11,13
,,,,14,,,5,6,,10,18
,,,,14,,,14,9,,8,8
,,,,13,,,,11,,14,8
,,,,10,,,,8,,13,
,,,,8,,,,9,,19,
,,,,9,,,,,,7,
,,,,9,,,,,,13,
,,,,14,,,,,,15,
,,,,12,,,,,,9,
,,,,10,,,,,,6,
,,,,11,,,,,,12,
,,,,,,,,,,6,
,,,,,,,,,,10,
,,,,,,,,,,18,
,,,,,,,,,,11,
,,,,,,,,,,10,
,,,,,,,,,,15,
,,,,,,,,,,9,
,,,,,,,,,,16,
