X11,X12,X21,X22,X31,X32
107,125,163,148,195,184
123,135,146,136,205,145
92,144,176,132,189,193
104,133,152,129,171,140
99,148,164,101,201,184
95,124,155,157,198,166
99,118,145,146,175,158
99,115,171,127,177,174
113,116,155,129,175,139
124,128,167,132,183,147
116,127,182,135,213,176
109,146,171,110,172,176
97,136,163,131,167,189
88,129,,158,175,171
93,132,,140,169,167
92,135,,150,201,170
110,146,,139,180,
78,112,,148,145,
110,112,,144,157,
127,135,,183,179,
113,,,159,165,
101,,,129,181,
,,,193,,
,,,152,,
