X11,X12,X13,X21,X22,X23,X31,X32,X33,X41,X42,X43
98.2,113.4,150.9,101.1,125.9,158,99.4,133.9,165.8,101.4,125,167.3
109,110.7,157.6,101,134.1,160.4,111,135.4,156.6,127.7,156.7,168
97,127.8,150.4,121.7,147.9,151.5,116.3,132,163.7,121.7,147.7,199.6
95,114.4,154.6,99.6,134.5,147.4,104.2,144.2,160.8,120.7,155,187.5
98.3,115.8,143,98.9,125.1,158.5,115.9,144.2,162.3,102.6,123.2,194.7
96.2,115.4,148,101,124.8,165.7,107,135.8,162.3,109.3,155.1,188.9
107.9,120.9,154.3,105.4,126.2,154.8,114,135.2,159.3,107,148.1,182
98.3,115.7,159.1,105.8,134.1,157.3,104.2,139.1,165.6,97.7,155.8,178.3
104.7,118.7,165,100.8,131.9,161.5,116.6,145.1,157.6,107.7,142.9,193.7
98.7,123.2,151.1,101.9,124.1,155.5,99.5,136.3,158.4,98.3,145.3,200.4
93.7,120.1,158.2,97.6,129.9,167.3,101.5,144.6,155.8,94.8,135.3,154.2
100.4,121.4,164.7,104.4,125.9,168.7,98.9,132.6,162.7,120.4,135.6,188
84.5,108.4,159.6,98,136.5,161.2,97.5,135.3,165.4,102.8,144.2,184.9
98.2,115.5,155.2,104.6,137.9,150,101.3,135.6,165,114.8,132.2,174
97.9,119.6,177.1,119.4,128.5,147.9,101.5,142.2,162,113.9,139.2,201.6
91.9,119.2,147.8,120.7,122.3,157.2,,133.4,162.7,,,189
97.2,117.4,146.6,101.2,140.8,156.5,,,,,,176.1
,124,161.3,100.4,140,162.9,,,,,,161.1
,114.4,160,,,150.8,,,,,,194.7
,,157.5,,,164.5,,,,,,
,,151.2,,,154.2,,,,,,
,,,,,147.3,,,,,,
